stationId,stationName,latitude,longitude,building_count_1km,building_area_1km,building_count_3km,building_area_3km
32496619672150063767061412126,"Hà Nội: Cột điện cổng phụ Trường tiểu học Phú Lãm, phường Phú Lương (LCS)",20.9436,105.754,8121,634838.0,55367,4320133.0
32496631939608265457394360507,"Hà Nội: Trường tiểu học Minh Khai, P. Thanh Nhàn (LCS)",21.0045,105.853,23053,1300811.0,150043,9671861.4
32496634188432693119199539147,Hà Nội: UBND xã Trần Phú (LCS),20.8327,105.671,4107,274826.4,25809,1865057.6
32497722117136617634216524795,Hải Phòng: Cổng bảo vệ trường tiểu học phả lại phường Chí Linh (LCS),21.1126,106.333,4441,456448.9,18194,1660050.6
32497686304154672399743049842,Hà Nội: UBND xã Chương Dương (LCS),20.8632,105.917,7692,457457.2,35897,2382299.0
32496644961331232165577682920,Hà Nội: Ban chỉ huy Quân sự xã Phúc Thọ(LCS),21.1044,105.544,7084,498753.5,35108,2399372.5
32497740397859994680382176275,Hải Phòng: Ban chỉ huy quân sự xã An Quang (LCS),20.8084,106.531,6946,428724.7,28692,2054772.9
32497743881131035780167864566,Hải Phòng: Vọng gác công an phường Bạch Đằng (LCS),20.9915,106.706,3244,177113.8,12165,894239.0
32497745839288232378111853921,Hải Phòng: cột điện Phường Bạch Đằng (anh Vân - 098 9325417) (LCS),20.9618,106.749,4639,401170.8,21738,1725476.7
32496640019282169742177968358,Hà Nội: UBND phường Quan Hoa (cũ)(LCS),21.0346,105.8,17828,1155438.3,121572,8947889.1
32496599090403802522844462004,Hưng Yên: Nhà văn hoá thế thôn Hồng Cầu (LCS),20.9615,106.021,4126,811106.5,44978,6048520.5
32496635793299427531930529746,"Hà Nội: Cổng Trường tiểu học Thịnh Hào, phường Ô Chợ Dừa(LCS)",21.0188,105.829,28175,1361901.4,164036,10457119.9
32496648232690046548195134965,Hà Nội: UBND TT Phùng(LCS),21.0833,105.669,8184,681165.6,41574,3583419.9
32496649796320141677664228873,Hà Nội: UBND xã Chuyên Mỹ(LCS),20.6957,105.899,2776,195111.3,20400,1316417.4
32496654659036040237005110994,"Hà Nội: Trường mầm non B, Ngọc Hồi(LCS)",20.9242,105.834,7835,436157.5,48996,3806472.0
32496656699585544717774158962,Hà Nội: UBND phường Định Công(LCS),20.9777,105.822,14833,951263.1,121585,8665450.5
32496659849795661849369859648,"Hà Nội: Nhà bảo vệ Trường THCS Tây Đằng, xã Quảng Oai(LCS)",21.1959,105.428,7471,509831.8,35509,2375868.3
32497674830731204969056502556,Hà Nội: UBND xã Thanh Thuỳ (LCS),20.8707,105.806,3414,286723.8,31094,2079722.8
32497682732178779599258375030,Hà Nội: UBND phường Hoàng Liệt(LCS),20.9662,105.838,7665,703096.9,87714,6593804.2
32497684349251147003185136481,Hà Nội: Tường rào -Trước cổng bảo vệ UBND phường Long Biên (LCS),21.0233,105.906,8829,773423.9,45290,3929489.9
32497689422265798936416998264,"Hà Nội: Cổng 3, Bộ Tài nguyên và Môi trường, 10 Tôn Thất Thuyết (LCS)",21.028,105.783,6842,785356.2,97039,8153269.5
32497693512462826621189636013,"Hà Nội: Nhà bảo vệ Cung thể thao tổng hợp Quần Ngựa (phố Văn Cao), Phường Liễu Giai, quận Ba Đình (LCS)",21.0407,105.816,18907,1121644.3,123218,8082606.8
32497698154816065885508975523,"Hà Nội: Cục Viễn Thám quốc gia, Bộ Tài nguyên và Môi trường số 79 Văn Tiến Dũng (LCS)",21.0608,105.749,5509,330744.5,56512,4880226.3
32497715505350541081963258104,"Hải Phòng: Cổng bảo vệ, ủy ban xã Nguyễn Lương Bằng (LCS)",20.8345,106.221,6167,373987.0,30678,1976184.9
32496615589638980218291071052,Hưng Yên: Tường trước mặt nhà Văn hóa Phong Cốc (LCS),20.9201,106.138,4478,425492.8,37741,3557903.9
32496646519546184688745583087,Hà Nội: Viện hàn lâm Khoa học và Công nghệ - 18 Hoàng Quốc Việt - Phường Nghĩa Đô(LCS),21.0464,105.802,14501,1045580.6,109626,7856115.4
32496653072616049897983672014,"Hà Nội: TT văn hoá thể thao Ninh Hiệp, xã Ninh Hiệp(LCS)",21.0787,105.945,10918,1044298.0,40189,3785083.1
32496658274959142730665276769,Hà Nội: UBND xã Song Phương(LCS),21.0174,105.697,6350,394424.5,39188,2993739.3
32497687835845808597395559285,Hà Nội: UBND xã Quang Minh (LCS),21.1781,105.729,3703,295687.0,28489,2160125.5
32497691894129504813496914814,Hà Nội: Nhà bảo vệ UBND xã Phúc Thịnh (LCS),21.1775,105.839,4353,572131.9,41322,4225099.7
32497713513553527537986241519,"Hải Phòng: Cổng bảo vệ trường tiểu học Tử Lạc, phường Nhị Chiểu (LCS)",21.0337,106.597,4214,309359.2,39472,2716236.6
32496578935958505757412009876,Hưng Yên: Cổng bảo vệ xã Phạm Ngũ Lão (trụ sở cũ xã Phù Ủng) (LCS),20.892,106.137,5343,323418.3,30999,2412953.4
32496590242207758224773467210,Hải Phòng:  Địa điểm 2 của công an phường Phạm Sư Mạnh (LCS),21.0104,106.528,4692,428206.5,33397,2635531.9
32496618056220078954907439411,Hưng Yên: Nhà văn hoá thôn Lường xã Thượng Hồng (LCS),20.9178,106.121,3489,563109.0,36561,3097212.9
32496621120052989448308754893,"Lạng Sơn: Cột điện đối diện nhà văn hóa khu Pha Lác, xã Chi Lăng (LCS)",21.5761,106.503,1847,148198.8,6162,465341.8
32496634971884394546566271369,"Hải Phòng: Trạm thủy văn Do Nghi, phường Nam Triệu (LCS)",20.9378,106.764,3867,378174.8,27180,2080253.5
32496670530460480527200245359,Hải Phòng: Phòng kinh tế môi trường - Ủy ban phường Bạch Đằng (LCS),20.9562,106.745,7094,501439.3,27817,2111536.9
32496674426906599552653261962,Hải Phòng: Cổng bảo vệ trường mầm non Tam Hưng- phường Nam Triệu (LCS),20.9399,106.75,3800,314214.4,38620,2719201.8
32496700750804852782040219324,Hải Phòng: ủy ban phường Phạm Sư Mạnh (LCS),21.0062,106.533,6379,502373.3,35587,2923056.9
32497682375609562779368280919,Hải Phòng: Phòng bảo vệ trường mầm non Gia Đức- phường Bạch Đằng (LCS),20.9867,106.739,3736,199892.2,11103,741656.5
32497816774243732691318562431,"Lạng Sơn: Tường phía sau lưng nhà văn hóa khu Trung Thịnh, xã Chi Lăng (LCS)",21.5581,106.481,1686,114701.1,6366,479058.6
32497825983352144945122444532,"Ninh Bình: Cổng bảo vệ trạm bơm Hoành Uyển, phường Hà Nam (LCS)",20.6748,105.899,2658,183958.4,19812,1813134.9
32497829304160538258698536470,Ninh Bình: UBND Phường Hà Nam (LCS),20.5831,105.928,3021,190507.2,21368,1522069.1
32497832479169427549528529636,Ninh Bình: Đảng ủy - HĐND phường Hà Nam (LCS),20.5535,105.934,2813,176639.3,43280,3052215.3
32497834813217474579076019998,Ninh Bình: Trung tâm Hành chính công Phường Đồng Văn (LCS),20.6415,105.902,4030,287576.7,33875,3400339.3
32497839438874550478493036568,"Thái Nguyên: Trạm quan trắc nước tại đập Ba Đa, phường Cam Giá (LCS)",21.5683,105.847,3269,462921.7,36228,4179956.0
32497845274199713703151904970,Thái Nguyên: UBND Phường Gia Sàng (LCS),21.554,105.842,4501,494229.4,26916,3061021.6
US_EMBASSY_HAN,US Embassy Hanoi - 7 Láng Hạ Ba Đình,21.0219,105.8188,17132,1132423.4,160297,10286070.6
US_CONSULATE_HCM,US Consulate HCMC - 4 Lê Duẩn District 1,10.7769,106.7009,6429,814224.8,139450,8316608.0
