Timestamp,Name,Id,Latitude,Longitude,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed,Wind Direction,Weather_Source
31/01/2026 09:00,Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),31390921469766835629621918251,20.6618,106.0585,79,79.00316352539063,64.49521907958984,34.6116085,,5.905,1.65432,21.66,69,1022,2.35,88.0,OpenWeather_Live
31/01/2026 09:00,Lâm Đồng: Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),31390928700890512538630765099,11.9527,108.4298,42,42.12018657226562,40.72891193847656,38.4304,13.09165,31.594,1.06932,19.18,46,1019,1.0,24.0,OpenWeather_Live
31/01/2026 08:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),31390932574706768021562473002,10.5391,106.4045,40,40.18341787109375,,,,23.08725,1.67032,26.12,69,1016,2.28,82.0,OpenWeather_Live
31/01/2026 09:00,Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),31390957404024291365397346858,20.4578,106.3439,61,61.17641499023438,50.82829599609376,10.2466335,27.26415,6.86875,2.036,21.49,73,1022,4.6,75.0,OpenWeather_Live
31/01/2026 09:00,Vũng Tàu: Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu (KK),31390965631272148257054013994,10.4955,107.2745,44,20.530382421875,43.76239117046638,,,39.16353125,,25.96,68,1016,3.29,81.0,OpenWeather_Live
31/01/2026 08:00,"Đà Nẵng: Sơn Trà, Ngũ Hành Sơn (KK)",31616849628246574706471517050,16.0034,108.2647,20,2.0671561035156247,0.9242656005859374,15.4531045,0.65215,,20.23212,22.98,78,1020,1.03,0.0,OpenWeather_Live
31/01/2026 09:00,Thái Nguyên: Tổ 7 - Quan Triều - TP Thái Nguyên (KK),31651447211638215373862421720,21.60259,105.80275,138,137.85735280566087,74.17004541362473,,21.93585,,0.75732,18.23,82,1023,3.62,59.0,OpenWeather_Live
31/01/2026 09:00,Thái Nguyên: Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),31651502905690497791503780869,21.53911,105.87202,142,141.77986341582084,89.08357646978614,7.117691499999999,,,3.011,18.15,81,1023,4.77,50.0,OpenWeather_Live
31/01/2026 11:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),28560877461938780203765592307,21.0491,105.8831,162,161.80631894192544,107.11658974231425,,,,,20.01,79,1023,5.51,29.0,OpenWeather_Live
31/01/2026 11:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),31390903576425084107499649578,21.0052,105.8418,164,164.24021620396204,89.63935144042969,,,,,20.0,79,1023,5.18,31.0,OpenWeather_Live
31/01/2026 09:00,Khánh Hòa: P. Vĩnh Hòa - Nha Trang (KK),28505263793630246854465636760,12.284358,109.192524,29,29.345996875,21.20707668457031,,,6.959125,,26.8,61,1018,3.85,57.0,OpenWeather_Live
31/01/2026 09:00,Thừa Thiên Huế: 83 đường Hùng Vương (KK),28505511563898617211441001382,16.46226,107.596351,46,29.130625017586805,24.24706262207032,10.692708500000002,,6.334375,46.12200000000001,25.06,65,1020,3.09,360.0,OpenWeather_Live
31/01/2026 11:00,"Trà Vinh: xã Dân Thành, TX Duyên Hải (KK)",29098314940209976158571475636,9.599143,106.51985,14,14.191180933674548,7.525716057650634,,,,,26.87,73,1016,8.49,75.0,OpenWeather_Live
