config,station_id,station_name,region,n_rows,r2,rmse,mae,baseline_full,baseline_sat,stage1_err_full,stage1_err_sat
V2,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.035,14.75,10.84,22.56,14.4,-1.04,-9.2
V2,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.429,22.49,13.38,32.5,35.62,-5.13,-2.0
V2,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6075,18.94,11.82,34.19,32.28,-4.99,-6.9
V2,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7385,18.99,13.0,43.48,37.22,-3.3,-9.55
V2,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.3713,18.61,12.5,41.15,38.87,4.22,1.93
V2,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.2586,10.77,8.84,16.7,24.26,-4.64,2.91
V2,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.5841,8.81,6.34,19.04,24.01,-3.53,1.44
V2,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.2807,30.69,19.9,40.98,35.66,-2.21,-7.53
V2,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.1442,19.13,14.45,22.04,17.07,3.96,-1.01
V2,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.3304,10.73,7.2,20.22,18.96,-0.95,-2.21
V2,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.0288,8.95,6.63,13.58,13.13,-1.91,-2.36
V2,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.2787,12.0,8.63,19.36,22.54,-0.5,2.67
V2,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0811,23.89,14.32,16.72,19.59,-10.69,-7.82
V2,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.3609,27.31,16.94,35.42,33.64,-1.76,-3.55
V2,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.1755,7.33,5.34,10.42,14.07,-4.25,-0.6
V2,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.061,13.09,7.96,12.22,3.95,0.15,-8.12
