config,station_id,station_name,region,n_rows,cluster,r2,rmse,mae,baseline_sat,n_train_stations
C2,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,1,-0.531,14.96,11.0,7.61,
C2,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0,0.3612,13.41,9.76,23.83,
C2,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,2,-0.0493,14.85,10.88,14.4,
C2,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,3,0.4342,22.39,13.25,35.62,
C2,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,3,0.6322,18.33,11.53,32.28,
C2,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,3,0.7434,18.81,12.92,37.22,
C2,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,3,0.3594,18.79,12.52,38.87,
C2,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0,0.1908,11.25,9.42,24.26,
C2,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0,0.584,8.81,6.34,24.01,
C2,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,3,0.295,30.38,19.98,35.66,
C2,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,4,0.1805,18.72,13.95,17.07,
C2,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0,0.3354,10.69,7.19,18.96,
C2,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,1,0.0704,8.76,6.49,13.13,
C2,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,2,0.2828,11.96,8.54,22.54,
C2,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,2,0.0909,23.76,14.35,19.59,
C2,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,3,0.3623,27.28,16.75,33.64,
C2,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,1,0.1224,7.56,5.5,14.07,
C2,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,1,0.0356,13.26,8.11,3.95,
C2,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,2,-0.8213,15.82,13.24,15.35,
C2,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,3,0.1085,41.64,25.62,33.16,
C3,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,3,0.1276,19.62,16.45,36.42,
C3,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,2,-0.1386,19.91,12.41,17.62,
C3,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,3,0.538,22.71,15.83,35.85,
C3,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,2,-1.1024,10.86,8.27,14.56,
C3,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,3,-0.0482,9.37,7.02,26.07,
