config,station_id,station_name,region,n_rows,r2,rmse,mae,stage1_baseline,stage1_error
T2,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.65,6.38,4.92,1.73,-3.99
T2,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.3547,17.21,11.26,34.82,11.38
T2,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.1351,18.22,12.25,20.42,-4.98
T2,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.3051,23.43,15.39,21.23,5.75
T2,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,0.2179,6.45,4.68,5.6,-1.36
T2,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.1299,9.52,4.59,2.93,-4.69
T2,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2465,11.08,6.31,9.92,0.43
T2,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-0.5753,10.43,7.97,17.82,8.59
T2,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0372,13.85,9.05,12.78,1.86
T2,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.7006,11.71,9.81,19.82,8.9
T2,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0.0807,9.73,5.67,8.26,1.55
T2,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,0.1001,11.47,8.89,19.78,1.31
T2,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.177,15.22,10.12,13.27,-10.95
T2,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.0717,13.97,10.12,16.22,-7.38
T2,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.429,22.49,13.38,33.34,-4.28
T2,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6075,18.94,11.82,36.44,-2.74
T2,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7366,19.06,13.09,46.85,0.08
T2,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.3703,18.63,12.51,43.11,6.17
T2,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.2582,10.77,8.84,24.06,2.72
T2,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.5893,8.75,6.21,21.63,-0.94
T2,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.763,17.62,11.83,40.86,-2.33
T2,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.1442,19.13,14.45,18.13,0.05
T2,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.3712,10.39,7.12,21.68,0.51
T2,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.0375,8.91,7.12,18.5,3.01
T2,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.1272,13.2,9.08,15.64,-4.23
T2,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0888,23.79,14.29,21.43,-5.98
T2,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.3609,27.31,16.94,34.5,-2.68
T2,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.1755,7.33,5.34,15.31,0.64
T2,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.3792,15.86,12.02,19.31,7.24
T2,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.3742,18.07,15.81,19.81,13.57
T2,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.2289,38.73,23.6,33.65,-21.56
T3,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.6859,27.28,23.13,39.43,12.33
T3,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.0693,19.29,9.99,15.61,2.42
T3,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5995,21.15,15.52,42.33,-6.21
T3,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.163,15.29,12.64,15.5,8.64
T3,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-1.9611,15.76,13.52,16.52,5.88
T3,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.7912,10.23,7.8,4.71,-1.9
T3,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.8004,41.23,31.14,35.62,7.67
T3,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0131,45.73,29.25,29.28,-22.91
T3,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-4.8124,15.48,14.04,-3.4,-12.53
T3,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-2.0324,8.65,6.62,1.73,-3.99
T3,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.2918,24.35,16.85,34.82,11.38
T3,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.0203,19.79,13.77,20.42,-4.98
T3,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.3278,23.63,14.76,21.23,5.75
T3,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.2192,8.06,5.28,5.6,-1.36
T3,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-1.2062,13.3,9.75,2.93,-4.69
T3,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-0.581,16.05,12.56,9.92,0.43
T3,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-0.8526,11.32,8.7,17.82,8.59
T3,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,0.0877,12.99,8.01,12.78,1.86
T3,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.9121,12.42,10.83,19.82,8.9
T3,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.0135,10.22,5.81,8.26,1.55
T3,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,0.1061,11.43,8.66,19.78,1.31
T3,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,-0.1818,18.24,13.51,13.27,-10.95
T3,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.5887,18.27,14.47,16.22,-7.38
T3,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.6701,17.1,11.46,33.34,-4.28
T3,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.66,17.62,13.16,36.44,-2.74
T3,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.6162,23.01,19.07,46.85,0.08
T3,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.4654,17.16,12.67,43.11,6.17
T3,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.2548,10.8,8.24,24.06,2.72
T3,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.0918,13.02,9.89,21.63,-0.94
T3,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.6299,22.01,15.74,40.86,-2.33
T3,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2743,17.62,12.41,18.13,0.05
T3,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.1475,12.1,8.4,21.68,0.51
T3,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.0756,8.73,6.76,18.5,3.01
T3,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.0968,13.42,9.58,15.64,-4.23
T3,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0751,23.97,14.87,21.43,-5.98
T3,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4794,24.65,16.87,34.5,-2.68
T3,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.2173,7.14,5.17,15.31,0.64
T3,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.0323,13.72,9.93,19.31,7.24
T3,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.9772,16.49,12.62,19.81,13.57
T3,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.003,44.04,27.38,33.65,-21.56
