config,station_id,station_name,region,n_rows,r2,rmse,mae,acag_annual,acag_vs_actual
A3,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,0.1867,18.95,15.42,37.49,10.39
A3,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.4818,22.71,15.46,20.19,7.0
A3,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5623,22.11,15.19,37.84,-10.7
A3,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-1.6118,12.11,8.69,19.93,13.07
A3,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.9935,12.93,10.64,37.03,26.39
A3,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.656,9.84,7.59,20.76,14.15
A3,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.7475,40.84,31.71,36.53,8.58
A3,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0303,46.12,28.93,36.53,-15.66
A3,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.7958,8.6,6.2,15.17,6.04
A3,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-1.6269,8.05,6.38,17.54,11.82
A3,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.0303,21.75,14.75,35.48,12.04
A3,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.1096,20.64,14.98,34.21,8.8
A3,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.3713,24.02,15.22,24.35,8.87
A3,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.25,8.16,6.26,21.01,14.06
A3,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.7077,11.7,7.26,21.72,14.1
A3,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2468,11.08,6.89,24.8,15.31
A3,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.6765,13.6,10.5,28.52,19.28
A3,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0681,14.05,8.53,18.77,7.84
A3,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.3027,10.25,7.53,24.72,13.8
A3,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.1187,10.73,6.83,21.5,14.79
A3,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.5725,15.17,11.24,18.47,-0.0
A3,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2241,14.78,10.89,28.38,4.16
