config,station_id,station_name,region,n_rows,r2,rmse,mae
K1,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.1114,13.32,9.56
K1,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.2942,28.35,17.72
K1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.3891,26.7,16.17
K1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.1033,7.64,5.59
K1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.0665,13.05,9.19
K1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-3.4492,24.73,21.61
K1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.0023,44.05,28.38
K2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.5124,25.84,21.08
K2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.0161,18.8,10.26
K2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5406,22.65,15.78
K2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-0.7762,9.99,6.59
K2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.247,10.23,7.72
K2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.0174,7.71,5.9
K2,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.5003,30.18,21.67
K2,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0503,46.56,29.0
K2,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1736,6.96,4.47
K2,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-3.7899,10.87,9.34
K2,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.2371,18.71,11.72
K2,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.281,22.18,16.27
K2,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.2798,23.2,13.76
K2,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,0.1731,6.63,4.61
K2,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.1338,9.53,5.27
K2,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2949,10.72,7.28
K2,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.2574,12.49,9.81
K2,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.3183,15.61,11.14
K2,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.0131,12.74,10.01
K2,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.6451,13.01,10.42
K2,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.054,12.42,8.85
K2,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2193,14.83,9.83
K2,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.2679,16.32,12.32
K2,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.4237,22.6,14.15
K2,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.7311,15.67,10.26
K2,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7812,17.37,12.42
K2,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.755,11.62,8.26
K2,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.517,8.69,6.76
K2,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.5877,8.77,6.09
K2,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.5073,25.4,17.22
K2,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.1678,18.87,13.98
K2,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,-0.2831,14.85,10.27
K2,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.2004,8.12,6.26
K2,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.1745,12.83,8.93
K2,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.1198,23.38,14.53
K2,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.5125,23.85,16.32
K2,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,0.148,7.45,5.65
K2,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.0278,13.32,9.03
K2,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.3008,17.78,15.39
K2,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.2434,38.36,23.85
K3,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.0467,21.49,16.04
K3,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.4165,22.2,15.0
K3,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.3589,26.76,19.24
K3,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.6277,16.12,10.95
K3,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.1162,9.67,7.0
K3,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-1.1406,11.18,9.23
K3,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-2.7552,47.74,36.24
K3,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.1581,41.69,25.93
K3,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-1.1217,9.35,6.09
K3,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-2.5732,9.39,8.08
K3,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.1602,23.08,17.78
K3,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.2617,16.84,11.28
K3,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.3067,31.15,19.12
K3,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.276,8.24,6.84
K3,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.1758,9.71,5.55
K3,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2915,10.74,7.89
K3,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-2.3287,15.17,11.41
K3,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.1165,14.37,9.81
K3,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.7028,14.77,11.81
K3,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.6467,13.02,10.41
K3,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,0.1085,11.42,8.38
K3,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2316,14.71,9.76
K3,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.0179,14.37,10.69
K3,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5575,19.8,13.45
K3,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6838,17.0,11.47
K3,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.6039,23.37,16.43
K3,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.3428,19.03,13.57
K3,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.6109,7.8,5.65
K3,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.6179,8.44,5.87
K3,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.6876,20.22,13.19
K3,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2392,18.04,11.05
K3,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.3193,10.81,7.59
K3,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.1553,8.35,6.31
K3,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.069,13.63,9.68
K3,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.1065,26.22,15.75
K3,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4298,25.8,15.78
K3,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.0606,8.31,6.27
K3,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.4471,16.25,12.7
K3,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-2.9188,23.21,20.24
K3,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.4078,52.33,33.49
K4,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,0.1194,19.71,14.68
K4,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.5431,23.17,16.15
K4,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.2556,28.83,20.86
K4,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-2.609,14.23,9.9
K4,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0479,9.37,6.5
K4,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-1.1465,11.2,8.99
K4,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-2.9425,48.92,36.82
K4,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.1606,41.63,26.04
K4,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.7567,8.51,6.04
K4,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-3.1471,10.11,8.71
K4,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.1699,23.17,17.11
K4,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.2631,16.82,11.19
K4,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.3393,31.37,18.89
K4,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.401,8.64,7.25
K4,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.8775,12.27,9.27
K4,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.3129,10.58,7.58
K4,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-2.0799,14.59,10.81
K4,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.2852,15.42,10.66
K4,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.7956,15.02,11.89
K4,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.3949,11.98,9.09
K4,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,0.1069,11.43,8.37
K4,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2407,14.62,9.73
