config,station_id,station_name,region,n_rows,r2,rmse,mae,stage1_baseline,stage1_error
S1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-3.1302,14.83,13.6,26.19,19.23
S1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-1.6769,14.65,12.71,23.34,15.72
S1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-0.0122,12.84,9.35,18.83,9.34
S1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.4392,12.98,9.5,22.23,12.99
S1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0889,14.19,9.24,9.18,-1.74
S1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.4995,14.2,11.8,18.85,7.93
S1,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-1.3544,15.57,13.48,20.76,14.06
S1,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-2.8613,23.76,20.83,-1.3,-19.77
S1,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2081,14.93,12.1,27.91,3.69
S1,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.2442,16.17,12.36,21.36,-2.24
S1,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5973,18.89,12.38,29.32,-8.3
S1,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.7291,15.73,10.7,33.04,-6.14
S1,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.6126,23.11,17.18,42.1,-4.67
S1,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.4838,16.87,12.01,42.95,6.02
S1,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.2303,10.97,9.03,28.68,7.34
S1,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.129,12.75,9.42,17.19,-5.38
S1,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.6571,21.19,14.13,27.0,-16.19
S1,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.0567,20.09,16.5,23.9,5.82
S1,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,-0.0577,13.48,9.64,21.44,0.27
S1,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.4358,10.88,8.36,10.89,-4.6
S1,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.0425,13.82,9.84,15.93,-3.93
S1,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.0255,24.6,14.83,19.19,-8.22
S1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4318,25.75,18.43,36.32,-0.87
S1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.6023,10.21,8.18,8.17,-6.5
S1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.6247,17.22,12.52,7.23,-4.84
S1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.91,16.2,11.4,17.34,11.1
S1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.2714,49.73,32.89,24.43,-30.79
S2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.252,23.51,19.77,34.77,7.67
S2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.0094,18.74,9.51,17.6,4.4
S2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4578,24.6,17.23,34.86,-13.67
S2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.4654,15.83,12.61,17.26,10.41
S2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0893,9.56,6.85,27.3,16.66
S2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.9429,10.65,8.11,20.23,13.61
S2,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.3164,37.5,26.66,24.69,-3.26
S2,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.1624,48.98,32.24,22.57,-29.62
S2,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.4959,7.85,5.37,7.6,-1.53
S2,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.2888,5.64,3.87,8.51,2.79
S2,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.0966,20.36,15.69,33.45,10.01
S2,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.0311,19.29,12.99,17.45,-7.95
S2,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.0963,29.7,19.6,17.39,1.91
S2,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-3.2319,15.01,13.65,26.19,19.23
S2,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-1.0015,12.66,10.21,23.34,15.72
S2,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-0.0387,13.01,9.55,18.83,9.34
S2,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.4484,13.01,9.51,22.23,12.99
S2,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.1129,14.35,9.32,9.18,-1.74
S2,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.4978,14.19,12.13,18.85,7.93
S2,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-1.4042,15.73,13.74,20.76,14.06
S2,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-4.1874,27.54,24.42,-1.3,-19.77
S2,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2091,14.92,12.06,27.91,3.69
S2,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.4768,17.62,13.78,21.36,-2.24
S2,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5871,19.13,12.58,29.32,-8.3
S2,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.7251,15.85,10.73,33.04,-6.14
S2,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.5821,24.01,17.47,42.1,-4.67
S2,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.5115,16.41,11.52,42.95,6.02
S2,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.0813,11.99,10.15,28.68,7.34
S2,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.1835,12.34,9.04,17.19,-5.38
S2,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.6266,22.11,14.66,27.0,-16.19
S2,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.0329,20.34,16.83,23.9,5.82
S2,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.0775,12.59,8.79,21.44,0.27
S2,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.2338,10.09,7.66,10.89,-4.6
S2,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.032,13.9,10.08,15.93,-3.93
S2,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,0.049,24.3,15.62,19.19,-8.22
S2,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4032,26.39,19.39,36.32,-0.87
S2,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.5813,10.15,8.23,8.17,-6.5
S2,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.681,17.51,12.88,7.23,-4.84
S2,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.9635,16.43,11.8,17.34,11.1
S2,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.1953,48.22,31.05,24.43,-30.79
S3,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.1332,22.36,19.0,34.77,7.67
S3,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.0557,19.17,10.61,17.6,4.4
S3,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,-0.1674,36.11,23.91,34.86,-13.67
S3,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-1.9302,12.83,11.29,17.26,10.41
S3,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-3.3096,19.01,17.65,27.3,16.66
S3,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-3.1723,15.61,14.4,20.23,13.61
S3,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.0176,24.85,15.49,24.69,-3.26
S3,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.425,54.24,33.17,22.57,-29.62
S3,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.0569,6.6,3.61,7.6,-1.53
S3,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.3149,5.69,4.3,8.51,2.79
S3,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.2183,23.65,19.46,33.45,10.01
S3,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.1647,21.15,14.15,17.45,-7.95
S3,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.0086,20.6,13.23,17.39,1.91
S3,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-6.9487,20.57,19.58,26.19,19.23
S3,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-3.085,18.09,16.8,23.34,15.72
S3,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,-0.5358,15.82,13.99,18.83,9.34
S3,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-2.4433,15.43,14.1,22.23,12.99
S3,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0164,13.71,8.39,9.18,-1.74
S3,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.7796,11.98,10.31,18.85,7.93
S3,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-1.9186,17.34,15.77,20.76,14.06
S3,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-2.6722,23.17,19.77,-1.3,-19.77
S3,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,-0.0485,17.18,13.38,27.91,3.69
S3,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.0239,14.67,10.7,21.36,-2.24
S3,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,-0.0777,30.9,20.0,29.32,-8.3
S3,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,-0.0412,30.84,20.99,33.04,-6.14
S3,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,-0.0158,37.43,26.2,42.1,-4.67
S3,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,-0.0657,24.23,19.72,42.95,6.02
S3,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,-0.3442,14.5,12.3,28.68,7.34
S3,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,-0.155,14.68,10.1,17.19,-5.38
S3,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,-0.2002,39.64,24.95,27.0,-16.19
S3,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,-0.0793,21.48,16.68,23.9,5.82
S3,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,-0.0004,13.11,9.75,21.44,0.27
S3,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.2569,10.18,7.1,10.89,-4.6
S3,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,-0.0775,14.66,10.28,15.93,-3.93
S3,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.1087,26.24,16.1,19.19,-8.22
S3,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,-0.0006,34.17,23.59,36.32,-0.87
S3,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.6481,10.36,7.5,8.17,-6.5
S3,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-0.1284,14.35,8.48,7.23,-4.84
S3,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.8964,16.15,14.43,17.34,11.1
S3,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.4874,53.78,34.89,24.43,-30.79
