config,stationId,station_name,region,tier_qc,n,r2,rmse,mae,bias,pm25_mean,pred_mean
Geographic region,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,3,19421,0.1567681909818721,21.538604800069702,15.156539713689252,-12.08380888413359,36.97820354255703,24.894394658423433
Oracle true-tier,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,3,19421,0.480375264444308,16.907873327779853,12.079050652121252,1.2617295921580638,36.97820354255703,38.23993313471509
Global XGBoost,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,2,19852,0.29904963877277635,10.471080370452041,7.73426308541199,0.08074053161616482,21.3460899707838,21.426830502399966
Geographic region,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,2,19852,0.3147709333393074,10.352988928153064,7.241805373870416,-2.8606328042738434,21.3460899707838,18.485457166509956
Oracle true-tier,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,2,19852,0.3016557760707249,10.45159647607877,7.5520139337652274,-1.7564906688116788,21.3460899707838,19.58959930197212
Global XGBoost,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,2,19133,0.1712852381731369,12.41944311885653,8.525311282249103,-4.74864275523725,22.598651419014267,17.850008663777018
Geographic region,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,2,19133,0.32329298722401556,11.222766415224033,7.758310082298228,-3.5580552930556073,22.598651419014267,19.04059612595866
Oracle true-tier,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,2,19133,0.2930435727806807,11.470858139263905,8.23606324047678,-1.449988142414279,22.598651419014267,21.14866327659999
Global XGBoost,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,3,19021,0.007835029889815215,36.045267356830486,22.871727698166,-20.403435488619497,43.191704195363016,22.788268706743526
Geographic region,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,3,19021,0.0604763084075034,35.07600912389762,22.151070560513045,-19.19267955304762,43.191704195363016,23.999024642315405
