variant,station_id,station_name,n_rows,actual_mean,pred_mean,bias,abs_mean_error,hourly_r2,hourly_rmse,daily_r2,actual_class,pred_class,class_flip,high_to_nonhigh,nonhigh_to_high,nearest_train_km
7_blend_s45_b50,32497845274199713703151904970,Thái Nguyên UBND Phường Gia Sàng (LCS),3919,50.19495164582802,39.14693660125392,-11.0480150445741,11.0480150445741,0.34390770442251983,32.69327646384086,0.4930319183145273,high,high,False,False,False,3.5173822792697513
8_blend_guarded,32496578935958505757412009876,Hưng Yên Cổng bảo vệ xã Phạm Ngũ Lão (trụ sở cũ xã Phù Ủng) (LCS),3969,25.669128420256992,38.110044334076626,12.440915913819634,12.440915913819634,-0.05153714667563669,25.287817672909576,-0.15784552609822988,moderate,high,True,False,True,18.449830942036815
8_blend_guarded,32496584622031367061634346762,Hưng Yên Cổng bảo vệ  ủy ban xã Như Quỳnh (LCS),4007,15.124932243573745,38.43428418430592,23.309351940732178,23.309351940732178,-1.6572179925699384,28.69925131716222,-3.0211327752340518,low,high,True,False,True,5.786216947358378
8_blend_guarded,32496590242207758224773467210,Hải Phòng  Địa điểm 2 của công an phường Phạm Sư Mạnh (LCS),4003,19.92853767174619,16.153618731430466,-3.7749189403157253,3.7749189403157253,0.057524002302617006,16.954086787046002,0.03336873929560469,low,low,False,False,False,7.236307759890286
8_blend_guarded,32496599090403802522844462004,Hưng Yên Nhà văn hoá thế thôn Hồng Cầu (LCS),3875,71.3933438451613,38.36884992715928,-33.024493918002015,33.024493918002015,-0.19539314352661585,55.12037518462208,-0.48555412816244825,high,high,False,False,False,6.995377456894362
8_blend_guarded,32496608539373531178394552735,"Hà Nội Tổng cục Biển và Hải đảo, Bộ Tài nguyên và Môi trường - 83 Nguyễn Chí Thanh(LCS)",3994,25.973338582874312,37.09318060863014,11.11984202575583,11.11984202575583,0.38096748762950106,18.924677511244013,0.34407166292058766,moderate,high,True,False,True,2.6513876585806173
8_blend_guarded,32496614298366895058622457929,Hà Nội Công an xã Hoài Đức (LCS),3992,50.66511099699399,37.35905868795265,-13.306052309041341,13.306052309041341,0.45722078505893493,28.46206264052511,0.5080212088428107,high,high,False,False,False,11.579665042552143
8_blend_guarded,32496615589638980218291071052,Hưng Yên Tường trước mặt nhà Văn hóa Phong Cốc (LCS),3934,21.38353845958312,35.93376949434625,14.55023103476313,14.55023103476313,-0.3055152347237753,23.63928390214015,-0.6038579610092938,moderate,high,True,False,True,16.075517740225266
8_blend_guarded,32496618056220078954907439411,Hưng Yên Nhà văn hoá thôn Lường xã Thượng Hồng (LCS),3935,40.91006205844981,38.08688716900907,-2.823174889440743,2.823174889440743,0.2706788502405443,29.046367043745683,0.31563586974698277,high,high,False,False,False,15.151800367733374
8_blend_guarded,32496619672150063767061412126,"Hà Nội Cột điện cổng phụ Trường tiểu học Phú Lãm, phường Phú Lương (LCS)",3999,51.35258332083021,38.90357012920095,-12.449013191629263,12.449013191629263,0.3105664643248911,35.54721405177521,0.3313885939683998,high,high,False,False,False,7.867295224935175
8_blend_guarded,32496621120052989448308754893,"Lạng Sơn Cột điện đối diện nhà văn hóa khu Pha Lác, xã Chi Lăng (LCS)",3917,34.08355458258872,18.847500964632786,-15.236053617955932,15.236053617955932,-0.2643874567701421,27.22680537146111,-0.5068365163390678,moderate,low,True,False,False,56.542895725272054
8_blend_guarded,32496631939608265457394360507,"Hà Nội Trường tiểu học Minh Khai, P. Thanh Nhàn (LCS)",4014,42.95951743896363,42.290036369827945,-0.669481069135685,0.669481069135685,0.671931347850385,21.22751088370853,0.7279051016995377,high,high,False,False,False,1.1445161932734895
8_blend_guarded,32496634188432693119199539147,Hà Nội UBND xã Trần Phú (LCS),3993,64.7180321813173,39.3943831515682,-25.3236490297491,25.3236490297491,-0.16758430709312822,47.91214329463001,-0.26927212278887347,high,high,False,False,False,22.91051635645702
8_blend_guarded,32496634971884394546566271369,"Hải Phòng Trạm thủy văn Do Nghi, phường Nam Triệu (LCS)",4004,28.658753796203793,12.1024200326601,-16.55633376354369,16.55633376354369,-0.5413797854454816,25.618420783493086,-0.9735207855922845,moderate,low,True,False,False,10.897102811166642
8_blend_guarded,32496635793299427531930529746,"Hà Nội Cổng Trường tiểu học Thịnh Hào, phường Ô Chợ Dừa(LCS)",4021,28.689258492912213,39.91916763358335,11.229909140671136,11.229909140671136,0.4016693260668861,20.36268790309511,0.36430064613378044,moderate,high,True,False,True,2.0267759103862018
