stationId,start,end,hours,threshold,raw_min,raw_max,station,region
29518839738601389925132404147,2023-02-03 03:00:00,2023-02-05 23:00:00,69,2.0,0.0103,1.0214,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North
28602897318711027016899843809,2024-10-04 23:00:00,2024-10-07 17:00:00,67,2.0,1.161,1.6998,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29518872592252585279589451187,2023-12-19 00:00:00,2023-12-21 15:00:00,64,2.0,0.252,1.9375,Quảng Ninh Km11 - Minh Thành (KK),North
28602897318711027016899843809,2025-03-19 19:00:00,2025-03-22 10:00:00,64,2.0,0.0359,0.0364,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29203727697074312726675247132,2023-02-08 00:00:00,2023-02-10 15:00:00,64,2.0,0.8083,1.7567,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North
28602897318711027016899843809,2024-10-14 05:00:00,2024-10-16 19:00:00,63,2.0,1.2226,1.2974,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29518839738601389925132404147,2023-03-26 23:00:00,2023-03-29 13:00:00,63,2.0,0.1452,1.546,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North
29518872592252585279589451187,2023-05-11 17:00:00,2023-05-14 06:00:00,62,2.0,0.188,1.2806,Quảng Ninh Km11 - Minh Thành (KK),North
31616865099255512061948816121,2024-06-24 08:00:00,2024-06-26 21:00:00,62,2.0,0.0006,0.0306,Đà Nẵng Phạm Hùng (KK),Unknown
28602897318711027016899843809,2025-03-16 08:00:00,2025-03-18 19:00:00,60,2.0,0.0359,0.0364,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29544533341424688633522251105,2023-06-30 00:00:00,2023-07-02 10:00:00,59,2.0,0.1365,1.918,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central
29518885338952740244749551027,2023-12-05 00:00:00,2023-12-07 10:00:00,59,2.0,0.3931,1.3536,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North
29518872592252585279589451187,2024-02-07 11:00:00,2024-02-09 20:00:00,58,2.0,1.189,1.9862,Quảng Ninh Km11 - Minh Thành (KK),North
29518839738601389925132404147,2023-01-15 10:00:00,2023-01-17 18:00:00,57,2.0,0.5317,1.7981,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North
29544533341424688633522251105,2024-05-17 09:00:00,2024-05-19 16:00:00,56,2.0,0.0009,0.0717,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central
29518872592252585279589451187,2023-09-03 10:00:00,2023-09-05 16:00:00,55,2.0,0.2896,1.8286,Quảng Ninh Km11 - Minh Thành (KK),North
29518872592252585279589451187,2024-01-03 11:00:00,2024-01-05 17:00:00,55,2.0,1.1593,1.9921,Quảng Ninh Km11 - Minh Thành (KK),North
28602897318711027016899843809,2025-03-14 01:00:00,2025-03-16 06:00:00,54,2.0,0.0359,0.0363,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29203727697074312726675247132,2024-01-13 07:00:00,2024-01-15 11:00:00,53,2.0,0.2725,1.27,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North
28602897318711027016899843809,2024-10-22 10:00:00,2024-10-24 13:00:00,52,2.0,0.9512,1.9183,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29544533341424688633522251105,2023-06-18 00:00:00,2023-06-20 00:00:00,49,2.0,0.1672,1.8727,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central
28602897318711027016899843809,2023-07-31 10:00:00,2023-08-02 10:00:00,49,2.0,0.0573,0.0611,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
28602897318711027016899843809,2024-11-20 05:00:00,2024-11-22 05:00:00,49,2.0,0.0358,0.0364,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
28602897318711027016899843809,2024-03-09 19:00:00,2024-03-11 18:00:00,48,2.0,0.059,0.8518,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
28602897318711027016899843809,2024-10-11 16:00:00,2024-10-13 15:00:00,48,2.0,1.1949,1.2458,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
